lambda2,N,epsilon_plus,epsilon_minus,gap,gap_crosscheck_abs_spread,finite_gap_sign
13,2,0.000000002973518774101483791696621617086244202891,0.0000007735615525738546436036002102953980101924,0.0000007705880337997531598119035886783117659895,3.311580560192374965168199956322438996314e-50,positive
13,4,9.67926186050697221684650685189039018682e-15,0.00000000000393912838271655103549576287243152759056,0.000000000003929449120856044063278916365579637200373,3.062845330011657186634398990383114759232e-50,positive
13,6,4.939740435899427736505221239732070519952e-19,2.45690864816965426688694764012122494515e-16,2.45196890773375483915044241888149287463e-16,2.888009686688427228466913604720329898531e-50,positive
13,8,7.674392556360189620928788210951309314443e-23,3.914845220205343967934465824124414379415e-20,3.9071708276489837783135370359134630701e-20,2.776916171566028869840283529943611132525e-50,positive
13,10,2.831237721193078219242959093765767636612e-26,1.644924478262006080523222602208782981825e-23,1.642093240540813002303979643115017214188e-23,2.736679908843761563688282806333249248695e-50,positive
13,12,2.139707361258782510379362289370288292206e-29,1.458854778797278159050080632604136222065e-26,1.456715071436019376539701270314765933773e-26,2.782863938189385701146625173610485557357e-50,positive
14,2,0.0000000008675651821104225226057722288318619232851,0.0000001282038746920296123589821446234031220619,0.0000001273363095099191898363763723945712601387,2.152533926733623409702729496151116093081e-50,positive
14,4,5.870179891339530419084634806605450828593e-15,0.000000000001874900489924098381597458662861775246377,0.000000000001869030310032758851178374028055169795548,2.206217700295034553172757124958867023893e-50,positive
14,6,1.373211346900808433968528877672476692989e-19,6.671891912663356759107051287611935893346e-17,6.658159799194348674767365998835211126416e-17,2.114337425957901265500526336720494074857e-50,positive
14,8,1.462787814872487952626803425895167775717e-23,6.739739822254531520482112349643170519083e-21,6.725111944105806640955844315384218841326e-21,2.070500590871870699405756214066965189111e-50,positive
14,10,4.418611942886426134135414492082902373453e-27,3.202894372201004738808979161530907617138e-24,3.198475760258118312674843747038824714764e-24,2.187540093902608978982809059067148865973e-50,positive
14,12,2.708529424081970915164863522424159525616e-30,1.847536082944097652254210001228199026181e-27,1.844827553520015681339045137705774866656e-27,2.26775281180556245761586265424878566357e-50,positive
